136.996		136.993
136.993		136.996
136.996		136.957
136.957		136.968
136.968		136.970
136.970		136.958
136.958		136.981
136.981		136.964
136.963		136.957
136.956		136.965
136.964		136.965
136.964		136.965
136.966		136.977
136.982		136.974
136.974		136.973
136.974		136.975
136.975		136.985
136.986		136.983
136.984		136.975
136.974		136.946
136.948		136.946
136.945		136.986
136.987		136.986
136.986		136.975
136.974		136.984
136.984		136.993
136.992		136.974
136.974		136.977
136.977		136.975
136.975		136.973
136.974		136.983
136.982		136.974
136.974		136.975
136.975		136.983
136.983		136.993
136.993		137.003
137.002		137.005
137.006		136.995
136.995		137.013
137.014		137.028
137.027		137.036
137.036		137.035
137.035		137.034
137.035		137.033
137.033		137.057
137.055		137.047
137.051		137.063
137.064		137.076
137.076		137.066
137.067		137.066
137.067		137.086
137.087		137.057
137.057		137.074
137.074		137.065
137.065		137.054
137.055		137.057
137.055		137.054
137.053		137.055
137.055		137.062
137.061		137.045
137.044		137.046
137.047		137.044
137.045		137.065
137.065		137.063
137.064		137.056
137.055		137.055
137.057		137.054
137.052		137.034
137.033		137.054
137.053		137.055
137.056		137.062
137.063		137.096
137.095		137.085
137.086		137.115
137.117		137.143
137.145		137.143
137.146		137.136
137.135		137.146
137.146		137.135
137.135		137.145
137.146		137.156
137.155		137.126
137.125		137.112
137.112		137.142
137.143		137.132
137.132		137.144
137.146		137.158
137.157		137.177
137.176		137.166
137.165		137.147
137.148		137.167
137.167		137.133
137.136		137.145
137.145		137.157
137.157		137.162
137.162		137.141
137.143		137.145
137.145		137.142
137.142		137.157
137.162		137.152
137.152		137.179
137.177		137.183
137.183		137.191
137.193		137.211
137.211		137.216
137.217		137.231
137.233		137.240
137.239		137.230
137.229		137.215
137.216		137.196
137.195		137.212
137.212		137.235
137.236		137.226
137.229		137.236
137.235		137.263
137.263		137.274
137.275		137.252
137.253		137.255
137.255		137.264
137.264		137.263
137.264		137.267
137.267		137.247
137.246		137.245
137.243		137.250
137.249		137.244
137.245		137.236
137.235		137.208
137.206		137.212
137.212		137.203
137.202		137.194
137.192		137.193
137.193		137.192
137.192		137.171
137.171		137.191
137.189		137.191
137.191		137.172
137.172		137.162
137.162		137.162
137.162		137.162
137.163		137.161
137.161		137.152
137.152		137.172
137.173		137.176
137.175		137.174
137.175		137.174
137.174		137.174
137.174		137.156
